Eigenvalue(e   Real(S_x)   Imag(S_x)    Abs(S_x)   Real(S_y)   Imag(S_y)    Abs(S_y)   Real(S_z)   Imag(S_z)    Abs(S_z)
    9.939691    0.000006    0.000006    0.000009    0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   10.179369   -0.000000   -0.000000    0.000000   -0.001631   -0.001612    0.002293   -0.000003    0.000007    0.000008
   10.179380    0.000001    0.000001    0.000001    0.000001    0.000008    0.000008    0.001818    0.002409    0.003018
   10.179399    0.000458    0.000530    0.000700    0.000000    0.000000    0.000000   -0.000001   -0.000001    0.000001
   10.186358    0.000000   -0.000000    0.000000    0.000003    0.000017    0.000017   -0.000005   -0.000005    0.000007
   10.186362    0.000001   -0.000033    0.000033   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   10.186369    0.000000    0.000000    0.000000    0.000001    0.000008    0.000008    0.000007    0.000012    0.000014
   10.196511   -0.819930   -0.990457    1.285804   -0.000078   -0.000094    0.000122    0.000027    0.000033    0.000043
   10.196532   -0.000105    0.000063    0.000123    1.102702   -0.656827    1.283500   -0.010938    0.007001    0.012987
   10.196534   -0.000041   -0.000005    0.000041   -0.012820   -0.001996    0.012974   -1.273620   -0.157606    1.283335
   10.221605   -0.000000    0.000000    0.000000    0.000025   -0.000001    0.000025   -0.000022    0.000011    0.000025
   10.221606    0.000004    0.000013    0.000014   -0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.221606   -0.000000    0.000000    0.000000   -0.000025   -0.000004    0.000026   -0.000024    0.000006    0.000025
   10.230815   -0.000006   -0.000005    0.000008   -0.000001    0.000001    0.000002    0.000000   -0.000000    0.000000
   10.249956   -0.000007   -0.000006    0.000009   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
   10.249962   -0.000003   -0.000003    0.000004   -0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   10.257548   -0.000010   -0.000012    0.000016    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.257550    0.000010   -0.000001    0.000010    0.000000    0.000001    0.000001   -0.000000   -0.000000    0.000000
   10.257590   -0.000006   -0.000013    0.000014    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   10.262117   -0.000001   -0.000000    0.000001    0.000013    0.000015    0.000020    0.000035    0.000005    0.000036
   10.262135    0.000039   -0.000018    0.000043    0.000000   -0.000000    0.000000   -0.000001    0.000001    0.000001
   10.262142    0.000000    0.000000    0.000000    0.000017    0.000006    0.000018   -0.000019    0.000007    0.000020
   10.271118    0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.272748    0.000004   -0.000229    0.000229    0.009115   -0.010787    0.014123   -0.027863    1.539133    1.539385
   10.272759   -0.478749    1.463419    1.539739    0.000079   -0.000233    0.000246   -0.000072    0.000215    0.000227
   10.272766    0.000240   -0.000050    0.000245    1.508551   -0.306112    1.539295    0.008936   -0.010887    0.014085
   10.304694   -0.000002   -0.000003    0.000004   -0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.304698    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000
   10.307622   -0.000000    0.000000    0.000000    0.000001    0.000000    0.000001    0.000003    0.000000    0.000003
   10.307632    0.000002    0.000004    0.000004   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.307643    0.000000   -0.000000    0.000000    0.000000    0.000003    0.000003   -0.000000   -0.000001    0.000001
   10.311377    0.000000   -0.000000    0.000000    0.000002    0.000002    0.000003    0.000005    0.000001    0.000005
   10.311392    0.000000    0.000012    0.000012    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.311399    0.000000    0.000000    0.000000    0.000005   -0.000003    0.000006   -0.000001    0.000002    0.000002
   10.329440    0.000000   -0.000000    0.000000   -0.000000   -0.000004    0.000004    0.000003    0.000004    0.000004
   10.329447   -0.000003    0.000000    0.000003    0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000
   10.329453    0.000000   -0.000000    0.000000    0.000004   -0.000002    0.000005    0.000002   -0.000004    0.000004
   10.340076    0.000002   -0.000001    0.000002    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000
   10.344906    0.000003   -0.000003    0.000004    0.265885   -0.297315    0.398862   -0.000006    0.001282    0.001282
   10.344912   -0.222241   -0.331612    0.399196    0.000002    0.000004    0.000004    0.000002    0.000004    0.000004
   10.344921   -0.000000   -0.000004    0.000004    0.000778   -0.000992    0.001261   -0.023710   -0.398138    0.398844
   10.377679    0.000005    0.000002    0.000005    0.000000   -0.000000    0.000001    0.000000   -0.000000    0.000000
   10.377686   -0.000008   -0.000001    0.000008   -0.000000   -0.000001    0.000001    0.000000    0.000000    0.000000
   10.393928   -0.000000   -0.000000    0.000000    0.000154    0.000323    0.000358    0.000012    0.000005    0.000013
   10.393934    0.000059    0.000067    0.000089   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.393939    0.000000   -0.000000    0.000000   -0.000013   -0.000008    0.000015   -0.000258    0.000038    0.000261
   10.408462   -0.000000   -0.000000    0.000000   -0.000001   -0.000005    0.000005    0.000001    0.000001    0.000002
   10.408464    0.000002    0.000004    0.000005    0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   10.408471    0.000000   -0.000000    0.000000    0.000002   -0.000000    0.000002    0.000004   -0.000003    0.000005
   10.568854   -0.000229    0.000103    0.000251   -3.713839   -0.892085    3.819479    0.378837   -0.204462    0.430491
   10.568858   -0.005100    0.002958    0.005896    0.421581    0.086942    0.430453    3.300612   -1.921806    3.819343
   10.568860   -1.741064   -3.427868    3.844682    0.000122   -0.000393    0.000412   -0.002676   -0.005242    0.005885
   10.636803    0.000000   -0.000000    0.000000    0.000202   -0.000195    0.000281    0.000001   -0.000009    0.000009
   10.636806   -0.000000   -0.000000    0.000000   -0.000023    0.000026    0.000034    0.000002    0.000190    0.000190
   10.636831    0.000088    0.000073    0.000114   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   10.669926    0.000002   -0.000000    0.000002    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   10.669938    0.000002   -0.000002    0.000003   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   10.808510    0.000005    0.000003    0.000006    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000
   10.808518   -0.000003    0.000003    0.000004    0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
   10.815485    0.000000    0.000000    0.000000   -0.000009    0.000009    0.000013   -0.000005    0.000028    0.000029
   10.815491    0.000017    0.000000    0.000017    0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
   10.815495    0.000000    0.000000    0.000000    0.000014   -0.000025    0.000029    0.000001    0.000013    0.000013
   10.875264    0.000000   -0.000000    0.000000    0.000004   -0.000000    0.000004   -0.000002    0.000001    0.000003
   10.875264   -0.000003   -0.000002    0.000004   -0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   10.875265    0.000000    0.000000    0.000000   -0.000002    0.000001    0.000003   -0.000003    0.000003    0.000004
   10.965095    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   10.987847    0.000141    0.000297    0.000329    0.260868    0.549494    0.608272    0.000169    0.000234    0.000289
   10.987853    0.117593    0.597164    0.608632   -0.000064   -0.000322    0.000328   -0.000264   -0.001340    0.001366
   10.987856   -0.001353    0.000187    0.001366    0.000295    0.000017    0.000296   -0.602606    0.083053    0.608302
   10.988309   -0.000008   -0.000007    0.000010   -0.003484   -0.003225    0.004747    0.000004    0.000006    0.000007
   10.988318   -0.012736   -0.004016    0.013354   -0.000002   -0.000000    0.000002    0.000017    0.000005    0.000018
   10.988320   -0.000000    0.000056    0.000056    0.000004    0.000003    0.000005   -0.000016    0.008661    0.008661
   10.990003   -0.000000    0.000000    0.000000    0.000004   -0.000007    0.000009   -0.000001   -0.000021    0.000021
   10.990012    0.000000    0.000003    0.000003    0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   10.990019   -0.000000   -0.000000    0.000000    0.000007   -0.000020    0.000021    0.000002    0.000008    0.000009
   11.001603   -0.000004   -0.000005    0.000006   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
